,train_loss,train_bal_acc,val_loss,val_bal_acc,iteration
0,0.37595712098009193,0.5869595796170033,0.35046248715313466,0.5528106231231231,1
1,0.3843797856049005,0.5757861979676381,0.3494347379239465,0.5629551426426427,2
2,0.3223583460949464,0.687795952155636,0.3206577595066804,0.7043918918918919,3
3,0.42343032159264926,0.5312171725424636,0.3833504624871531,0.5119650900900901,4
4,0.41921898928024504,0.5237078963072832,0.34635149023638234,0.5372090840840841,5
5,0.4226646248085758,0.5106200098523525,0.33915724563206573,0.5145880255255255,6
6,0.4096477794793262,0.5748380736556118,0.35662898252826314,0.6014217342342343,7
7,0.41309341500765695,0.5213429725971723,0.34018499486125386,0.5138067755255256,8
8,0.37136294027565087,0.6145958470479156,0.36793422404933196,0.5877862237237237,9
9,0.37404287901990807,0.6082220454465193,0.37410071942446044,0.5823784722222223,10
10,0.3832312404287902,0.5982817042534508,0.3689619732785201,0.5848442192192191,11
11,0.38782542113323126,0.5934794306705047,0.3484069886947585,0.6112729917417417,12
12,0.3924196018376723,0.5886771570875584,0.34224049331963,0.6166807432432433,13
13,0.38897396630934145,0.5910196346728582,0.3689619732785201,0.5884454767267266,14
14,0.38629402756508424,0.5944832213720628,0.3627954779033916,0.5952937312312312,15
15,0.3859111791730475,0.5951539115814223,0.3658787255909558,0.5893487237237237,16
16,0.3855283307810107,0.5963842585027417,0.3720452209660843,0.5752979542042043,17
17,0.37595712098009193,0.6053163197692897,0.38437821171634123,0.5716849662162162,18
18,0.3893568147013783,0.5922517772841626,0.3586844809866393,0.5926567192192191,19
19,0.3985451761102603,0.5811921226671742,0.35046248715313466,0.6068294857357357,20
